Unnamed: 0,match_id,season,match_date,event_name,gender,match_type,team1,team2,toss_winner,toss_decision,winner,ground
14882,875469,2015,2015-07-11,ICC World Twenty20 Qualifier,male,IT20,Hong Kong,Jersey,Jersey,field,Jersey,"Bready Cricket Club, Magheramason, Londonderry"
14895,875461,2015,2015-07-10,ICC World Twenty20 Qualifier,male,IT20,Ireland,Namibia,Ireland,field,Ireland,"Civil Service Cricket Club, Stormont, Belfast"
14896,875463,2015,2015-07-10,ICC World Twenty20 Qualifier,male,IT20,Canada,Kenya,Kenya,field,Kenya,"Myreside, Edinburgh"
14897,875465,2015,2015-07-10,ICC World Twenty20 Qualifier,male,IT20,Nepal,United States of America,United States of America,bat,Nepal,"Civil Service Cricket Club, Stormont, Belfast"
15086,877507,2015,2015-05-18,Hong Kong tour of Namibia,male,IT20,Namibia,Hong Kong,Namibia,field,Hong Kong,"Wanderers Cricket Ground, Windhoek"
15264,811135,2015,2015-01-30,ACC Twenty20 Cup,male,IT20,Kuwait,Oman,Oman,bat,Oman,"Sharjah Cricket Association Stadium, Sharjah"
15266,811137,2015,2015-01-30,ACC Twenty20 Cup,male,IT20,Malaysia,Singapore,Singapore,bat,Malaysia,"Sharjah Cricket Association Stadium, Sharjah"
15268,811127,2015,2015-01-29,ACC Twenty20 Cup,male,IT20,Maldives,Oman,Oman,field,Oman,"Sharjah Cricket Association Stadium, Sharjah"
15269,811129,2015,2015-01-29,ACC Twenty20 Cup,male,IT20,Saudi Arabia,Singapore,Saudi Arabia,bat,Saudi Arabia,"Sharjah Cricket Association Stadium, Sharjah"
15272,811123,2015,2015-01-27,ACC Twenty20 Cup,male,IT20,Oman,Singapore,Singapore,bat,Singapore,Al Dhaid Cricket Village
15273,811125,2015,2015-01-27,ACC Twenty20 Cup,male,IT20,Malaysia,Saudi Arabia,Saudi Arabia,bat,Saudi Arabia,"Sharjah Cricket Association Stadium, Sharjah"
15274,811121,2015,2015-01-27,ACC Twenty20 Cup,male,IT20,Kuwait,Maldives,Maldives,bat,Kuwait,"Sharjah Cricket Association Stadium, Sharjah"
15275,811117,2015,2015-01-26,ACC Twenty20 Cup,male,IT20,Kuwait,Saudi Arabia,Saudi Arabia,field,Kuwait,Al Dhaid Cricket Village
15277,811119,2015,2015-01-26,ACC Twenty20 Cup,male,IT20,Malaysia,Oman,Oman,bat,Oman,"Sharjah Cricket Association Stadium, Sharjah"
15280,811111,2015,2015-01-25,ACC Twenty20 Cup,male,IT20,Malaysia,Maldives,Malaysia,bat,Malaysia,Al Dhaid Cricket Village
15478,778041,2014,2014-10-03,Asian Games Men's Cricket Competition,male,IT20,Bangladesh,Hong Kong,Bangladesh,bat,Bangladesh,"Yeonhui Cricket Ground, Incheon"
15479,778039,2014,2014-10-02,Asian Games Men's Cricket Competition,male,IT20,Bangladesh,Sri Lanka,Sri Lanka,field,no result,"Yeonhui Cricket Ground, Incheon"
15480,778029,2014,2014-09-30,Asian Games Men's Cricket Competition,male,IT20,Hong Kong,Malaysia,Malaysia,bat,Hong Kong,"Yeonhui Cricket Ground, Incheon"
15481,778031,2014,2014-09-30,Asian Games Men's Cricket Competition,male,IT20,South Korea,Sri Lanka,South Korea,field,Sri Lanka,"Yeonhui Cricket Ground, Incheon"
15482,778027,2014,2014-09-29,Asian Games Men's Cricket Competition,male,IT20,South Korea,China,China,field,South Korea,"Yeonhui Cricket Ground, Incheon"
15483,778021,2014,2014-09-28,Asian Games Men's Cricket Competition,male,IT20,China,Malaysia,China,bat,Malaysia,"Yeonhui Cricket Ground, Incheon"
15484,778023,2014,2014-09-28,Asian Games Men's Cricket Competition,male,IT20,Maldives,Nepal,Maldives,bat,Nepal,"Yeonhui Cricket Ground, Incheon"
15485,778017,2014,2014-09-27,Asian Games Men's Cricket Competition,male,IT20,South Korea,Malaysia,Malaysia,field,Malaysia,"Yeonhui Cricket Ground, Incheon"
15486,778019,2014,2014-09-27,Asian Games Men's Cricket Competition,male,IT20,Kuwait,Nepal,Kuwait,bat,Nepal,"Yeonhui Cricket Ground, Incheon"
16221,660233,2013,2013-11-30,ICC World Twenty20 Qualifier,male,IT20,United Arab Emirates,Nepal,Nepal,field,Nepal,"Sheikh Zayed Stadium, Abu Dhabi"
16222,660225,2013,2013-11-29,ICC World Twenty20 Qualifier,male,IT20,Papua New Guinea,Scotland,Papua New Guinea,bat,Scotland,"Sheikh Zayed Stadium Nursery 1, Abu Dhabi"
16223,660231,2013,2013-11-29,ICC World Twenty20 Qualifier,male,IT20,United Arab Emirates,Ireland,Ireland,bat,Ireland,"Sheikh Zayed Stadium, Abu Dhabi"
16224,660219,2013,2013-11-28,ICC World Twenty20 Qualifier,male,IT20,Hong Kong,Papua New Guinea,Hong Kong,bat,Hong Kong,"Sheikh Zayed Stadium, Abu Dhabi"
16225,660221,2013,2013-11-28,ICC World Twenty20 Qualifier,male,IT20,Italy,Namibia,Italy,bat,Italy,"Sheikh Zayed Stadium Nursery 2, Abu Dhabi"
16227,660211,2013,2013-11-27,ICC World Twenty20 Qualifier,male,IT20,Hong Kong,Nepal,Nepal,field,Nepal,"Sheikh Zayed Stadium, Abu Dhabi"
16228,660215,2013,2013-11-27,ICC World Twenty20 Qualifier,male,IT20,Italy,Scotland,Italy,bat,Scotland,"Sheikh Zayed Stadium Nursery 2, Abu Dhabi"
16229,660217,2013,2013-11-27,ICC World Twenty20 Qualifier,male,IT20,United Arab Emirates,Netherlands,United Arab Emirates,bat,United Arab Emirates,"Sheikh Zayed Stadium, Abu Dhabi"
16232,660207,2013,2013-11-26,ICC World Twenty20 Qualifier,male,IT20,United States of America,Denmark,Denmark,field,United States of America,"Sharjah Cricket Association Stadium, Sharjah"
16233,660205,2013,2013-11-26,ICC World Twenty20 Qualifier,male,IT20,Bermuda,Uganda,Uganda,bat,Uganda,"ICC Academy Ground No 2, Dubai"
16235,660195,2013,2013-11-24,ICC World Twenty20 Qualifier,male,IT20,Denmark,Scotland,Scotland,bat,Scotland,"ICC Academy Ground No 2, Dubai"
16239,660201,2013,2013-11-24,ICC World Twenty20 Qualifier,male,IT20,Bermuda,Papua New Guinea,Papua New Guinea,bat,Papua New Guinea,"ICC Academy Ground No 2, Dubai"
16240,660199,2013,2013-11-24,ICC World Twenty20 Qualifier,male,IT20,United Arab Emirates,United States of America,United Arab Emirates,bat,United Arab Emirates,"Sheikh Zayed Stadium Nursery 1, Abu Dhabi"
16241,660197,2013,2013-11-24,ICC World Twenty20 Qualifier,male,IT20,Hong Kong,Ireland,Ireland,bat,Ireland,"Sheikh Zayed Stadium, Abu Dhabi"
16242,660191,2013,2013-11-24,ICC World Twenty20 Qualifier,male,IT20,Canada,Italy,Italy,bat,Canada,"Sheikh Zayed Stadium, Abu Dhabi"
16244,660189,2013,2013-11-23,ICC World Twenty20 Qualifier,male,IT20,Bermuda,Nepal,Bermuda,field,Nepal,"ICC Global Cricket Academy, Dubai"
16245,660187,2013,2013-11-23,ICC World Twenty20 Qualifier,male,IT20,United Arab Emirates,Italy,United Arab Emirates,field,Italy,"Sheikh Zayed Stadium Nursery 2, Abu Dhabi"
16246,660183,2013,2013-11-23,ICC World Twenty20 Qualifier,male,IT20,Canada,Namibia,Namibia,field,Namibia,"Sheikh Zayed Stadium Nursery 1, Abu Dhabi"
16248,660179,2013,2013-11-22,ICC World Twenty20 Qualifier,male,IT20,Hong Kong,United States of America,United States of America,field,Hong Kong,"Abu Dhabi Oval 2, Abu Dhabi"
