,match_id,season,match_date,event_name,gender,match_type,team1,team2,toss_winner,toss_decision,winner,ground
280,1427826,2024,2024-05-08,Rachael Heyhoe Flint Trophy,female,ODM,Northern Diamonds,South East Stars,Northern Diamonds,bat,Northern Diamonds,"Kent County Cricket Ground, Beckenham"
281,1427828,2024,2024-05-08,Rachael Heyhoe Flint Trophy,female,ODM,Thunder,Central Sparks,Thunder,bat,Central Sparks,"Old Trafford, Manchester"
283,1427827,2024,2024-05-08,Rachael Heyhoe Flint Trophy,female,ODM,Southern Vipers,Sunrisers,Sunrisers,field,Sunrisers,"Radlett Cricket Club, Radlett"
285,1425660,2024,2024-05-07,ICC Women's T20 World Cup Qualifier,female,T20,Sri Lanka,Scotland,Scotland,field,Sri Lanka,"Zayed Cricket Stadium, Abu Dhabi"
292,1427825,2024,2024-05-06,Rachael Heyhoe Flint Trophy,female,ODM,The Blaze,Thunder,Thunder,field,Thunder,"Trent Bridge, Nottingham"
293,1429396,2024,2024-05-06,India Women tour of Bangladesh,female,T20,India,Bangladesh,Bangladesh,field,India,"Sylhet International Cricket Stadium, Academy Ground, Sylhet"
298,1425658,2024,2024-05-05,ICC Women's T20 World Cup Qualifier,female,T20,Ireland,Scotland,Ireland,bat,Scotland,"Zayed Cricket Stadium, Abu Dhabi"
299,1425659,2024,2024-05-05,ICC Women's T20 World Cup Qualifier,female,T20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Sri Lanka,"Zayed Cricket Stadium, Abu Dhabi"
302,1427824,2024,2024-05-04,Rachael Heyhoe Flint Trophy,female,ODM,Sunrisers,South East Stars,Sunrisers,bat,South East Stars,"County Ground, Northampton"
304,1427822,2024,2024-05-04,Rachael Heyhoe Flint Trophy,female,ODM,Northern Diamonds,Central Sparks,Northern Diamonds,bat,Northern Diamonds,"Edgbaston Foundation Community Sports Ground, Birmingham"
306,1427823,2024,2024-05-04,Rachael Heyhoe Flint Trophy,female,ODM,Southern Vipers,Western Storm,Western Storm,field,Southern Vipers,"County Ground, Bristol"
308,1425655,2024,2024-05-03,ICC Women's T20 World Cup Qualifier,female,T20,United Arab Emirates,Vanuatu,Vanuatu,field,United Arab Emirates,"Zayed Cricket Stadium, Abu Dhabi"
311,1426088,2024,2024-05-03,West Indies Women tour of Pakistan,female,T20,Pakistan,West Indies,West Indies,field,West Indies,"National Stadium, Karachi"
312,1425656,2024,2024-05-03,ICC Women's T20 World Cup Qualifier,female,T20,Sri Lanka,United States of America,Sri Lanka,bat,Sri Lanka,"Tolerance Oval, Abu Dhabi"
314,1425654,2024,2024-05-03,ICC Women's T20 World Cup Qualifier,female,T20,Thailand,Scotland,Thailand,bat,Scotland,"Tolerance Oval, Abu Dhabi"
316,1425657,2024,2024-05-03,ICC Women's T20 World Cup Qualifier,female,T20,Ireland,Netherlands,Ireland,bat,Ireland,"Zayed Cricket Stadium, Abu Dhabi"
318,1429395,2024,2024-05-02,India Women tour of Bangladesh,female,T20,Bangladesh,India,India,field,India,"Sylhet International Cricket Stadium, Academy Ground, Sylhet"
320,1426087,2024,2024-05-02,West Indies Women tour of Pakistan,female,T20,West Indies,Pakistan,West Indies,bat,Pakistan,"National Stadium, Karachi"
323,1425653,2024,2024-05-01,ICC Women's T20 World Cup Qualifier,female,T20,United States of America,Thailand,Thailand,field,Thailand,"Zayed Cricket Stadium, Abu Dhabi"
327,1425650,2024,2024-05-01,ICC Women's T20 World Cup Qualifier,female,T20,Netherlands,Zimbabwe,Netherlands,bat,Netherlands,"Tolerance Oval, Abu Dhabi"
328,1425651,2024,2024-05-01,ICC Women's T20 World Cup Qualifier,female,T20,Sri Lanka,Uganda,Sri Lanka,bat,Sri Lanka,"Zayed Cricket Stadium, Abu Dhabi"
330,1425652,2024,2024-05-01,ICC Women's T20 World Cup Qualifier,female,T20,Vanuatu,Ireland,Ireland,field,Ireland,"Tolerance Oval, Abu Dhabi"
331,1427818,2024,2024-05-01,Rachael Heyhoe Flint Trophy,female,ODM,Northern Diamonds,The Blaze,Northern Diamonds,bat,The Blaze,"North Marine Road Ground, Scarborough"
