match_id,season,match_date,event_name,team1,team2,toss_winner,toss_decision,winner,ground,h2h,h2h_team1_wins,h2h_team1_wins%,h2h_venue,h2h_venue_team1_wins,h2h_venue_team1_wins%,team1_venue,team2_venue,team1_venue_wins,team2_venue_wins,team1_venue_wins%,team2_venue_wins%,team1_last_5_wins,team2_last_5_wins
1382167,2023,2023-07-19,ICC Women's Championship,India,Bangladesh,Bangladesh,field,India,"Shere Bangla National Stadium, Mirpur, Dhaka",4,3,75,2,1,50,2,5,1,1,50,20,4,2
1336079,2023,2023-07-18,Women's Ashes,England,Australia,Australia,field,England,"The Cooper Associates County Ground, Taunton",25,8,32,1,1,100,1,1,1,0,100,0,4,4
1382166,2023,2023-07-16,ICC Women's Championship,India,Bangladesh,India,field,Bangladesh,"Shere Bangla National Stadium, Mirpur, Dhaka",4,3,75,2,1,50,2,5,1,1,50,20,4,1
1336078,2023,2023-07-16,Women's Ashes,England,Australia,England,field,Australia,"The Rose Bowl, Southampton",25,8,32,1,0,0,1,1,0,1,0,100,4,4
1336077,2023,2023-07-12,Women's Ashes,England,Australia,Australia,bat,England,"County Ground, Bristol",25,8,32,3,2,66,3,6,2,1,66,16,5,5
1384544,2023,2023-07-07,Thailand Women tour of Netherlands,Thailand,Netherlands,Netherlands,field,Thailand,"Vra Cricket Ground, Amstelveen",6,5,83,2,1,50,2,2,1,1,50,50,4,1
1384542,2023,2023-07-03,Thailand Women tour of Netherlands,Thailand,Netherlands,Thailand,field,Netherlands,"Vra Cricket Ground, Amstelveen",6,5,83,2,1,50,2,2,1,1,50,50,5,0
1379759,2023,2023-07-03,ICC Women's Championship,Sri Lanka,New Zealand,New Zealand,bat,Sri Lanka,"Galle International Stadium, Galle",6,2,33,3,2,66,5,3,2,1,40,33,3,1
1378193,2023,2023-07-01,Ireland Women tour of West Indies,West Indies,Ireland,Ireland,bat,West Indies,"Darren Sammy National Cricket Stadium, Gros Islet, St Lucia",2,2,100,2,2,100,2,2,2,0,100,0,2,0
1379758,2023,2023-06-30,ICC Women's Championship,Sri Lanka,New Zealand,New Zealand,bat,New Zealand,"Galle International Stadium, Galle",6,2,33,3,2,66,5,3,2,1,40,33,3,2
1379757,2023,2023-06-27,ICC Women's Championship,Sri Lanka,New Zealand,New Zealand,bat,Sri Lanka,"Galle International Stadium, Galle",6,2,33,3,2,66,5,3,2,1,40,33,2,2
1378191,2023,2023-06-26,Ireland Women tour of West Indies,West Indies,Ireland,West Indies,bat,West Indies,"Darren Sammy National Cricket Stadium, Gros Islet, St Lucia",2,2,100,2,2,100,2,2,2,0,100,0,1,0
1368851,2023,2023-05-04,Bangladesh Women tour of Sri Lanka,Sri Lanka,Bangladesh,Sri Lanka,bat,Sri Lanka,"Sinhalese Sports Club Ground, Colombo",2,2,100,1,1,100,4,1,1,0,25,0,2,1
1368832,2023,2023-04-23,Zimbabwe Women tour of Thailand,Zimbabwe,Thailand,Zimbabwe,bat,Thailand,"Terdthai Cricket Ground, Bangkok",3,0,0,3,0,0,3,3,0,3,0,100,0,4
1368831,2023,2023-04-21,Zimbabwe Women tour of Thailand,Zimbabwe,Thailand,Zimbabwe,field,Thailand,"Terdthai Cricket Ground, Bangkok",3,0,0,3,0,0,3,3,0,3,0,100,0,5
1368830,2023,2023-04-19,Zimbabwe Women tour of Thailand,Zimbabwe,Thailand,Thailand,bat,Thailand,"Terdthai Cricket Ground, Bangkok",3,0,0,3,0,0,3,3,0,3,0,100,0,5
1345094,2023,2023-01-21,Pakistan Women tour of Australia,Pakistan,Australia,Pakistan,field,Australia,"North Sydney Oval, Sydney",10,0,0,1,0,0,1,5,0,1,0,20,2,5
1345093,2023,2023-01-18,Pakistan Women tour of Australia,Pakistan,Australia,Pakistan,bat,Australia,"Allan Border Field, Brisbane",10,0,0,2,0,0,2,10,0,2,0,20,2,5
1345092,2023,2023-01-16,Pakistan Women tour of Australia,Pakistan,Australia,Australia,field,Australia,"Allan Border Field, Brisbane",10,0,0,2,0,0,2,10,0,2,0,20,1,5
1322341,2022,2022-12-11,Bangladesh Women tour of New Zealand,New Zealand,Bangladesh,Bangladesh,bat,New Zealand,"Basin Reserve, Wellington",2,2,100,1,1,100,3,2,1,0,33,0,3,1
