Unnamed: 0,match_id,season,match_date,event_name,gender,match_type,team1,team2,toss_winner,toss_decision,winner,ground
14508,881761,2015,2015-12-05,ICC Women's World Twenty20 Qualifier,female,IT20,Scotland,Zimbabwe,Zimbabwe,field,Zimbabwe,"Asian Institute of Technology Ground, Bangkok"
14509,881757,2015,2015-12-05,ICC Women's World Twenty20 Qualifier,female,IT20,China,Papua New Guinea,China,bat,Papua New Guinea,"Asian Institute of Technology Ground, Bangkok"
14513,881747,2015,2015-12-03,ICC Women's World Twenty20 Qualifier,female,IT20,Bangladesh,Zimbabwe,Zimbabwe,field,Bangladesh,"Terdthai Cricket Ground, Bangkok"
14514,881751,2015,2015-12-03,ICC Women's World Twenty20 Qualifier,female,IT20,Ireland,Scotland,Ireland,field,Ireland,"Terdthai Cricket Ground, Bangkok"
14515,881749,2015,2015-12-03,ICC Women's World Twenty20 Qualifier,female,IT20,Netherlands,Papua New Guinea,Papua New Guinea,field,Papua New Guinea,"Asian Institute of Technology Ground, Bangkok"
14520,881745,2015,2015-12-01,ICC Women's World Twenty20 Qualifier,female,IT20,China,Netherlands,Netherlands,bat,China,"Asian Institute of Technology Ground, Bangkok"
14521,881743,2015,2015-12-01,ICC Women's World Twenty20 Qualifier,female,IT20,Ireland,Zimbabwe,Ireland,field,Ireland,"Terdthai Cricket Ground, Bangkok"
14523,881741,2015,2015-12-01,ICC Women's World Twenty20 Qualifier,female,IT20,Bangladesh,Papua New Guinea,Papua New Guinea,field,Bangladesh,"Asian Institute of Technology Ground, Bangkok"
14525,881739,2015,2015-12-01,ICC Women's World Twenty20 Qualifier,female,IT20,Thailand,Scotland,Scotland,field,Scotland,"Terdthai Cricket Ground, Bangkok"
14530,881737,2015,2015-11-29,ICC Women's World Twenty20 Qualifier,female,IT20,Thailand,Papua New Guinea,Papua New Guinea,field,Papua New Guinea,"Asian Institute of Technology Ground, Bangkok"
14531,881735,2015,2015-11-29,ICC Women's World Twenty20 Qualifier,female,IT20,Netherlands,Zimbabwe,Netherlands,field,Zimbabwe,"Terdthai Cricket Ground, Bangkok"
14533,881723,2015,2015-11-28,ICC Women's World Twenty20 Qualifier,female,IT20,Thailand,Bangladesh,Thailand,field,Bangladesh,"Thailand Cricket Ground, Bangkok"
14536,881729,2015,2015-11-28,ICC Women's World Twenty20 Qualifier,female,IT20,China,Zimbabwe,Zimbabwe,field,Zimbabwe,"Asian Institute of Technology Ground, Bangkok"
14537,881725,2015,2015-11-28,ICC Women's World Twenty20 Qualifier,female,IT20,Ireland,Netherlands,Netherlands,bat,Ireland,"Asian Institute of Technology Ground, Bangkok"
